competition,season,teams,main_role,player_id,player_name,presences,matches_started,full_matches,minutes_played,substitutions_in,substitutions_out,yellow_cards,red_cards,shots_attempted,shots_on_target,goals,xg_total,xg_avg,headers,assists,key_passes,passes_attempted,passes_completed,progressive_passes,crosses,switches,avg_pass_angle,avg_pass_length,carries_attempted,carry_distance_total,progressive_carries,carries_to_penalty_area,dribbles_attempted,dribbles_completed,dribble_overruns,duels_attempted,duels_won,interceptions_attempted,interceptions_won,blocks,clearances,ball_recoveries,pressures,dispossessed,fouls_committed,fouls_won,own_goals,gk_goals_conceded,gk_shots_faced,gk_saves,gk_penalties_saved,gk_clean_sheet
Spain - La Liga,2015/2016,['Barcelona'],Right Center Back,7068,Marc Bartra,13,4,3,548,9,1,0,0,5,2,2,0.9,0.7,3,1,0,392,346,101,0,20,-3.66,314.62,306,1880.68,39,3,4,3,0,19,3,12,4,10,25,29,42,2,3,9,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Barcelona'],Left Center Back,5506,Javier Mascherano,32,31,27,2812,1,3,9,1,3,1,0,0.26,0.14,1,0,10,2111,1933,596,2,116,6.02,799.2,1668,10873.29,252,1,13,11,0,105,15,38,8,69,106,110,354,11,31,22,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Barcelona'],Left Center Back,10609,Jérémy Mathieu,21,12,8,1340,9,4,2,0,7,3,0,0.54,0.45,4,2,2,832,735,135,7,10,16.95,439.5,630,4091.88,89,7,5,5,0,33,4,19,7,27,62,42,90,3,8,6,1,0,0,0,0,0
Spain - La Liga,2015/2016,['Barcelona'],Left Center Back,6332,Thomas Vermaelen,10,6,3,535,4,3,2,0,3,3,1,0.41,0.14,1,0,0,347,318,60,0,11,5.34,224.16,254,1356.75,22,0,0,0,0,16,1,5,3,8,46,19,31,0,4,7,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Barcelona'],Left Back,22102,Adriano,8,4,2,454,4,2,0,0,1,0,0,0.04,0.04,0,1,5,361,326,53,10,7,6.6,151.24,279,1368.93,21,4,3,3,0,11,3,4,2,7,6,24,58,3,9,7,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Barcelona'],Left Back,5211,Jordi Alba,31,29,25,2707,2,4,2,0,7,2,0,0.92,0.74,0,6,16,2332,2005,358,67,21,31.9,515.44,1668,6870.78,113,47,16,7,0,69,18,41,9,64,77,144,304,11,22,17,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Barcelona'],Center Defensive Midfield,6834,Gerard Gumbau,3,0,0,54,3,0,0,0,0,0,0,0.0,0.0,0,0,0,20,17,2,0,0,0.21,59.77,16,62.64,0,0,0,0,0,1,0,1,0,3,2,1,19,0,0,0,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Barcelona'],Center Defensive Midfield,21229,Sergi Samper,1,0,0,32,1,0,0,0,0,0,0,0.0,0.0,0,0,0,26,22,5,0,0,0.05,17.31,20,143.99,3,0,0,0,0,2,0,0,0,0,0,2,11,1,0,0,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Barcelona'],Center Defensive Midfield,5203,Sergio Busquets,35,34,24,3019,1,10,6,0,6,2,0,0.23,0.2,1,5,13,2406,2182,350,4,88,2.58,672.61,1831,7356.22,125,6,30,21,2,149,23,38,16,64,67,152,582,22,40,82,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Barcelona'],Right Center Midfield,11094,Arda Turan,18,9,3,863,9,6,5,0,8,3,2,1.19,1.0,2,3,6,624,573,56,7,9,0.73,262.86,612,3182.92,54,26,29,22,0,42,11,5,2,23,2,70,180,25,23,21,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Barcelona'],Right Center Midfield,5470,Ivan Rakitić,36,30,16,2680,6,14,3,0,44,14,7,4.73,2.78,4,2,30,1899,1636,277,24,75,-13.16,659.29,1516,6380.83,87,31,37,18,5,81,17,31,11,39,28,148,480,25,44,57,1,0,0,0,0,0
Spain - La Liga,2015/2016,['Barcelona'],Right Center Midfield,6998,Rafinha,6,3,1,293,3,2,0,0,3,2,1,0.84,0.84,1,0,4,179,149,11,1,0,-1.85,94.92,169,1193.87,17,3,7,4,0,9,0,3,1,7,2,13,48,3,3,6,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Barcelona'],Left Center Midfield,5216,Andrés Iniesta,28,25,20,2346,3,5,2,0,23,6,1,1.87,1.34,1,2,31,1877,1641,362,25,94,9.7,552.59,1721,9354.77,176,33,80,54,5,63,16,12,5,30,13,133,377,22,24,54,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Barcelona'],Right Wing,5503,Lionel Messi,33,31,29,2855,2,2,3,0,158,74,26,21.27,4.2,5,15,59,1926,1544,412,36,70,-16.36,604.55,2083,13534.6,228,140,241,179,6,22,4,7,4,11,0,92,191,85,14,80,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Barcelona'],Right Wing,6616,Munir El Haddadi,15,8,4,867,7,5,0,0,17,6,3,4.13,3.04,3,1,6,321,252,31,10,4,-6.07,223.25,299,1519.12,21,17,21,9,1,17,3,12,2,16,5,32,128,11,11,13,0,0,0,0,0,0
Spain - La Liga,2015/2016,['Barcelona'],Right Wing,3508,Sandro Ramírez,10,4,1,383,6,3,0,0,10,1,0,1.94,1.06,0,1,4,91,72,7,6,2,-1.6,150.5,91,511.16,9,12,8,2,0,8,0,3,2,6,1,13,54,6,4,7,0,0,0,0,0,0
