competition,season,teams,main_role,player_id,player_name,presences,matches_started,full_matches,minutes_played,substitutions_in,substitutions_out,yellow_cards,red_cards,shots_attempted,shots_on_target,goals,xg_total,xg_avg,headers,assists,key_passes,passes_attempted,passes_completed,progressive_passes,crosses,switches,avg_pass_angle,avg_pass_length,carries_attempted,carry_distance_total,progressive_carries,carries_to_penalty_area,dribbles_attempted,dribbles_completed,dribble_overruns,duels_attempted,duels_won,interceptions_attempted,interceptions_won,blocks,clearances,ball_recoveries,pressures,dispossessed,fouls_committed,fouls_won,own_goals,gk_goals_conceded,gk_shots_faced,gk_saves,gk_penalties_saved,gk_clean_sheet
Italy - Serie A,2015/2016,['AS Roma'],Goalkeeper,40529,Morgan De Sanctis,4,4,4,378,0,0,0,0,0,0,0,0.0,0.0,0,0,0,79,59,51,0,1,0.04,139.93,39,180.13,3,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,7,15,12,1,0
Italy - Serie A,2015/2016,['AS Roma'],Goalkeeper,5669,Wojciech Szczęsny,34,34,34,3256,0,0,1,0,0,0,0,0.0,0.0,0,0,1,1242,892,814,0,46,-2.11,1311.64,578,2755.53,33,0,2,2,0,0,0,1,0,0,1,164,0,0,0,2,0,34,270,103,0,8
Italy - Serie A,2015/2016,['AS Roma'],Right Back,6964,Alessandro Florenzi,33,31,22,2872,2,9,4,0,48,15,7,3.25,1.49,1,3,35,1879,1451,493,83,94,-22.67,712.71,1275,8417.36,196,43,49,23,5,94,10,62,25,84,66,135,440,22,25,27,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Right Back,19299,Maicon,15,12,5,1048,3,7,2,1,11,6,1,0.82,0.76,0,2,9,840,680,153,35,21,-15.37,264.29,633,4094.86,97,20,15,13,1,24,10,8,1,24,23,65,117,9,12,11,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Right Back,20043,Norbert Gyömbér,6,0,0,132,6,0,1,0,0,0,0,0.0,0.0,0,0,2,52,42,17,1,0,2.86,127.75,40,189.7,1,1,2,2,0,4,0,0,0,7,6,6,23,0,5,1,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Right Back,8104,Vassilis Torosidis,11,6,5,627,5,1,2,0,2,0,0,0.11,0.11,1,0,4,370,303,80,7,5,-5.67,198.91,232,1017.78,19,2,4,2,0,11,0,4,1,19,27,17,69,2,15,13,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Right Center Back,7048,Konstantinos Manolas,37,36,33,3316,1,3,7,0,17,3,2,1.4,1.13,9,1,3,1756,1524,421,2,38,-7.32,793.6,1199,7249.86,108,7,6,4,0,94,11,36,13,63,157,176,332,3,56,35,1,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Left Center Back,3167,Antonio Rüdiger,30,29,29,2807,1,0,4,0,18,5,2,1.59,0.93,8,0,6,1569,1365,389,7,43,6.89,698.38,1160,6966.5,121,5,10,6,1,91,9,21,6,63,118,144,334,6,44,16,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Left Center Back,7961,Leandro Castán,5,4,3,400,1,1,1,0,0,0,0,0.0,0.0,0,0,0,165,143,27,0,3,3.82,103.11,119,773.22,7,0,2,2,0,14,0,7,3,10,16,11,53,1,11,5,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Left Back,4355,Emerson,8,1,0,220,7,1,1,0,4,2,1,1.02,0.95,0,0,1,101,81,17,4,2,5.0,128.3,74,403.84,7,1,5,1,0,9,0,3,0,2,6,12,32,2,3,1,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Left Back,6849,Lucas Digne,33,32,30,3036,1,2,4,0,16,8,3,0.79,0.53,1,2,24,2020,1564,372,102,24,34.18,558.47,1285,7524.43,161,11,40,22,1,114,9,42,11,88,97,153,476,44,53,32,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Center Defensive Midfield,7051,Daniele De Rossi,23,23,17,2000,0,6,9,0,11,2,1,0.61,0.4,4,2,14,1462,1294,436,3,78,3.39,552.02,947,5398.59,103,1,7,4,0,55,7,26,5,44,65,78,232,3,26,24,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Center Defensive Midfield,20169,Seydou Kéita,20,16,12,1461,4,4,4,0,13,1,1,0.86,0.52,4,0,5,800,690,142,1,19,-0.53,394.92,597,2996.03,37,4,8,6,0,58,6,16,6,26,32,78,256,5,45,30,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Center Defensive Midfield,23241,William Vainqueur,16,4,2,680,12,2,3,0,4,2,0,0.16,0.16,0,2,3,386,358,44,2,9,0.53,310.59,314,1733.45,22,2,14,11,1,33,4,9,2,28,14,38,177,8,22,5,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Right Center Midfield,6947,Miralem Pjanić,33,30,24,2803,3,5,11,1,68,25,10,6.07,2.29,5,11,64,2395,1914,442,61,90,-1.1,634.08,1653,8873.56,157,56,43,26,3,74,8,39,19,66,21,143,610,39,60,45,1,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Left Center Midfield,6980,Kevin Strootman,5,2,1,206,3,1,1,0,2,0,0,0.11,0.05,0,1,2,168,154,25,2,3,1.56,70.39,130,482.22,5,4,2,1,1,7,2,0,0,9,2,10,64,2,6,2,0,0,0,0,0,0
Italy - Serie A,2015/2016,['AS Roma'],Left Center Midfield,6962,Radja Nainggolan,35,33,27,3094,2,5,11,1,66,19,6,3.85,1.93,2,1,41,1793,1505,338,27,68,4.46,712.23,1545,8804.16,135,30,40,24,1,100,21,32,23,49,26,231,583,53,53,57,0,0,0,0,0,0
