season,player_id,player_name,presences,matches_started,full_matches,minutes_played,substitutions_in,substitutions_out,yellow_cards,red_cards,shots_attempted,shots_attempted_per90,shots_on_target,shots_on_target_per90,goals,goals_per90,xg_total,xg_total_per90,headers,assists,assists_per90,key_passes,key_passes_per90,passes_attempted,passes_attempted_per90,passes_completed,passes_completed_per90,pass_accuracy,progressive_passes,progressive_passes_per90,crosses,crosses_per90,switches,carries_attempted,carries_attempted_per90,carry_distance_total,carry_distance_total_per90,progressive_carries,carries_to_penalty_area,carries_to_penalty_area_per90,dribbles_attempted,dribbles_attempted_per90,dribbles_completed,dribbles_completed_per90,dribbles_success_rate,dribble_overruns,duels_attempted,duels_attempted_per90,duels_won,duels_won_per90,duels_lost,interceptions_attempted,interceptions_attempted_per90,duels_success_rate,interceptions_won,interceptions_won_per90,interceptions_lost,blocks,blocks_per90,interceptions_ratio,clearances,clearances_per90,ball_recoveries,ball_recoveries_per90,pressures,pressures_per90,dispossessed,fouls_committed,fouls_committed_per90,fouls_won,fouls_balance,own_goals,gk_goals_conceded,gk_goals_conceded_per90,gk_shots_faced,gk_shots_faced_per90,gk_saves,gk_saves_per90,gk_penalties_saved,gk_save_ratio,gk_clean_sheet,teams,competitions,main_role,avg_pass_angle,avg_pass_length,team_league_position,macro_role,goal_contribution,goal_contribution_per90
2015/2016,9403,Izet Hajrović,7,2,0,194,5,2,0,0,1,0.46,0,0.0,0,0.0,0.01,0.0,0,0,0.0,3,1.39,79,36.65,54,25.05,0.6835443037974683,10,4.64,3,1.39,8,62,28.76,369.98,171.64,8,0,0.0,6,2.78,0,0.0,0.0,1,4,1.86,2,0.93,2,1,0.46,0.5,1,0.46,0,5,2.32,1.0,1,0.46,8,3.71,47,21.8,9,4,1.86,2,-2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Eibar'],['Spain - La Liga'],Left Wing,-3.88,125.41,13,FWD,0,0.0
2015/2016,9404,Luca Caldirola,34,34,34,3224,0,0,4,0,16,0.45,5,0.14,0,0.0,2.24,0.06,9,0,0.0,5,0.14,685,19.12,416,11.61,0.6072992700729927,345,9.63,8,0.22,11,258,7.2,1648.39,46.02,27,1,0.03,2,0.06,0,0.0,0.0,0,111,3.1,17,0.47,94,32,0.89,0.15315315315315314,7,0.2,25,73,2.04,0.21875,173,4.83,73,2.04,484,13.51,4,45,1.26,61,16,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Darmstadt 98'],['Germany - 1. Bundesliga'],Left Center Back,14.07,944.55,14,DEF,0,0.0
2015/2016,9406,Holger Badstuber,7,5,4,483,2,1,0,0,2,0.37,1,0.19,0,0.0,0.18,0.03,2,0,0.0,1,0.19,395,73.6,357,66.52,0.9037974683544304,75,13.98,1,0.19,16,289,53.85,1535.82,286.18,23,0,0.0,0,0.0,0,0.0,0.0,0,13,2.42,0,0.0,13,2,0.37,0.0,0,0.0,2,2,0.37,0.0,14,2.61,15,2.8,38,7.08,2,3,0.56,2,-1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Bayern Munich'],['Germany - 1. Bundesliga'],Left Center Back,4.44,145.13,1,DEF,0,0.0
2015/2016,9407,Gojko Kačar,19,12,7,1191,7,5,3,0,8,0.6,4,0.3,1,0.08,0.66,0.05,4,0,0.0,1,0.08,529,39.97,412,31.13,0.77882797731569,109,8.24,1,0.08,15,355,26.83,1935.56,146.26,36,6,0.45,5,0.38,4,0.3,0.8,0,91,6.88,12,0.91,79,15,1.13,0.13186813186813187,6,0.45,9,30,2.27,0.4,30,2.27,54,4.08,300,22.67,7,27,2.04,14,-13,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Hamburger SV'],['Germany - 1. Bundesliga'],Right Defensive Midfield,-0.22,372.54,10,MID,1,0.08
2015/2016,9408,Jan Morávek,11,3,0,431,8,3,0,0,6,1.25,1,0.21,1,0.21,0.62,0.13,1,0,0.0,5,1.04,177,36.96,136,28.4,0.768361581920904,26,5.43,1,0.21,5,119,24.85,552.04,115.28,8,4,0.84,5,1.04,2,0.42,0.4,0,24,5.01,1,0.21,23,3,0.63,0.041666666666666664,1,0.21,2,9,1.88,0.3333333333333333,4,0.84,21,4.39,164,34.25,9,10,2.09,2,-8,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Augsburg'],['Germany - 1. Bundesliga'],Center Attacking Midfield,-0.59,158.1,12,MID,1,0.21
2015/2016,9409,Daniel Ginczek,7,7,7,663,0,0,1,0,18,2.44,8,1.09,3,0.41,3.87,0.53,5,1,0.14,12,1.63,190,25.79,111,15.07,0.5842105263157895,24,3.26,7,0.95,1,140,19.0,803.6,109.09,10,18,2.44,21,2.85,13,1.76,0.6190476190476191,0,41,5.57,0,0.0,41,1,0.14,0.0,1,0.14,0,11,1.49,1.0,7,0.95,19,2.58,163,22.13,7,14,1.9,15,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['VfB Stuttgart'],['Germany - 1. Bundesliga'],Left Center Forward,2.26,97.16,17,FWD,4,0.54
2015/2016,9410,Marius Wolf,2,2,0,142,0,2,1,0,1,0.63,0,0.0,0,0.0,0.03,0.02,0,0,0.0,0,0.0,16,10.14,8,5.07,0.5,6,3.8,1,0.63,1,19,12.04,96.13,60.93,1,1,0.63,1,0.63,0,0.0,0.0,1,7,4.44,0,0.0,7,3,1.9,0.0,2,1.27,1,6,3.8,0.6666666666666666,7,4.44,1,0.63,51,32.32,3,1,0.63,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Hannover 96'],['Germany - 1. Bundesliga'],Left Midfield,1.56,39.55,18,MID,0,0.0
2015/2016,9452,Gary O'Neil,27,19,17,1933,8,1,7,1,11,0.51,0,0.0,0,0.0,0.68,0.03,0,0,0.0,8,0.37,977,45.49,734,34.17,0.7512794268167861,231,10.76,16,0.74,60,686,31.94,3264.51,151.99,43,6,0.28,33,1.54,22,1.02,0.6666666666666666,0,90,4.19,15,0.7,75,31,1.44,0.16666666666666666,16,0.74,15,49,2.28,0.5161290322580645,53,2.47,136,6.33,385,17.93,21,43,2.0,19,-24,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Norwich City'],['England - Premier League'],Right Center Midfield,-1.63,563.32,19,MID,0,0.0
2015/2016,9459,Paweł Olkowski,19,13,6,1098,6,7,1,0,7,0.57,2,0.16,0,0.0,0.25,0.02,0,0,0.0,2,0.16,545,44.67,379,31.07,0.6954128440366972,148,12.13,14,1.15,8,363,29.75,2475.61,202.92,50,7,0.57,17,1.39,6,0.49,0.35294117647058826,1,39,3.2,3,0.25,36,15,1.23,0.07692307692307693,5,0.41,10,28,2.3,0.3333333333333333,43,3.52,59,4.84,167,13.69,7,12,0.98,15,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['FC Köln'],['Germany - 1. Bundesliga'],Right Back,-15.43,301.31,9,DEF,0,0.0
2015/2016,9461,Timm Klose,18,17,15,1582,1,2,4,0,10,0.57,3,0.17,2,0.11,0.84,0.05,5,0,0.0,0,0.0,768,43.69,622,35.39,0.8098958333333334,241,13.71,0,0.0,35,509,28.96,3579.84,203.66,77,0,0.0,3,0.17,3,0.17,1.0,0,68,3.87,7,0.4,61,37,2.1,0.10294117647058823,13,0.74,24,36,2.05,0.35135135135135137,114,6.49,48,2.73,152,8.65,1,13,0.74,10,-3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,"['Norwich City', 'Wolfsburg']","['England - Premier League', 'Germany - 1. Bundesliga']",Left Center Back,1.085,216.135,"[19, 8]",DEF,2,0.11
