season,player_id,player_name,presences,matches_started,full_matches,minutes_played,substitutions_in,substitutions_out,yellow_cards,red_cards,shots_attempted,shots_attempted_per90,shots_on_target,shots_on_target_per90,goals,goals_per90,xg_total,xg_total_per90,headers,assists,assists_per90,key_passes,key_passes_per90,passes_attempted,passes_attempted_per90,passes_completed,passes_completed_per90,pass_accuracy,progressive_passes,progressive_passes_per90,crosses,crosses_per90,switches,carries_attempted,carries_attempted_per90,carry_distance_total,carry_distance_total_per90,progressive_carries,carries_to_penalty_area,carries_to_penalty_area_per90,dribbles_attempted,dribbles_attempted_per90,dribbles_completed,dribbles_completed_per90,dribbles_success_rate,dribble_overruns,duels_attempted,duels_attempted_per90,duels_won,duels_won_per90,duels_lost,interceptions_attempted,interceptions_attempted_per90,duels_success_rate,interceptions_won,interceptions_won_per90,interceptions_lost,blocks,blocks_per90,interceptions_ratio,clearances,clearances_per90,ball_recoveries,ball_recoveries_per90,pressures,pressures_per90,dispossessed,fouls_committed,fouls_committed_per90,fouls_won,fouls_balance,own_goals,gk_goals_conceded,gk_goals_conceded_per90,gk_shots_faced,gk_shots_faced_per90,gk_saves,gk_saves_per90,gk_penalties_saved,gk_save_ratio,gk_clean_sheet,teams,competitions,main_role,avg_pass_angle,avg_pass_length,team_league_position,macro_role,goal_contribution,goal_contribution_per90
2015/2016,4045,Leroy Fer,11,9,5,805,2,4,2,0,5,0.56,1,0.11,0,0.0,0.27,0.03,2,2,0.22,6,0.67,435,48.63,369,41.25,0.8482758620689655,73,8.16,0,0.0,14,379,42.37,1941.67,217.08,37,3,0.34,19,2.12,12,1.34,0.631578947368421,0,40,4.47,5,0.56,35,19,2.12,0.125,8,0.89,11,14,1.57,0.42105263157894735,20,2.24,46,5.14,165,18.45,14,21,2.35,18,-3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Swansea City'],['England - Premier League'],Left Defensive Midfield,-1.02,216.86,12,MID,2,0.22
2015/2016,4053,Ben Foster,15,15,15,1455,0,0,1,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,408,25.24,202,12.49,0.4950980392156863,380,23.51,0,0.0,15,121,7.48,1054.39,65.22,22,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1,0.06,0.0,3,0.19,72,4.45,4,0.25,0,0,0.0,0,0,0,17,1.05,169,10.45,46,2.85,0,0.27218934911242604,4,['West Bromwich Albion'],['England - Premier League'],Goalkeeper,0.61,893.94,14,GK,0,0.0
2015/2016,4090,Adam Lallana,30,23,10,2242,7,13,2,0,42,1.69,16,0.64,4,0.16,3.92,0.16,4,7,0.28,44,1.77,1046,41.99,817,32.8,0.7810707456978967,123,4.94,43,1.73,18,948,38.06,6431.49,258.18,122,72,2.89,73,2.93,43,1.73,0.589041095890411,9,116,4.66,20,0.8,96,17,0.68,0.1724137931034483,9,0.36,8,55,2.21,0.5294117647058824,34,1.36,134,5.38,607,24.37,49,33,1.32,36,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Liverpool'],['England - Premier League'],Center Attacking Midfield,2.89,471.1,8,MID,11,0.44
2015/2016,4093,Jay Fulton,2,0,0,32,2,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,9,25.31,9,25.31,1.0,1,2.81,0,0.0,0,10,28.12,54.5,153.28,0,0,0.0,0,0.0,0,0.0,0.0,0,4,11.25,1,2.81,3,1,2.81,0.25,1,2.81,0,2,5.62,1.0,1,2.81,1,2.81,5,14.06,1,1,2.81,0,-1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Swansea City'],['England - Premier League'],Right Center Midfield,1.83,31.29,12,MID,0,0.0
2015/2016,4097,Matt Grimes,1,1,1,96,0,0,0,0,1,0.94,0,0.0,0,0.0,0.04,0.04,0,0,0.0,1,0.94,46,43.12,34,31.88,0.7391304347826086,12,11.25,1,0.94,2,38,35.62,226.04,211.91,4,0,0.0,0,0.0,0,0.0,0.0,0,6,5.62,0,0.0,6,0,0.0,0.0,0,0.0,0,2,1.88,0.0,0,0.0,1,0.94,18,16.88,1,3,2.81,1,-2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Swansea City'],['England - Premier League'],Left Wing,0.43,20.72,12,FWD,0,0.0
2015/2016,4116,Sullay Kaikai,1,0,0,50,1,0,0,0,3,5.4,1,1.8,0,0.0,0.16,0.29,0,0,0.0,2,3.6,20,36.0,14,25.2,0.7,2,3.6,2,3.6,3,19,34.2,126.92,228.46,3,2,3.6,0,0.0,0,0.0,0.0,0,2,3.6,0,0.0,2,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,1,1.8,10,18.0,0,1,1.8,0,-1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Crystal Palace'],['England - Premier League'],Left Midfield,0.14,22.68,15,MID,0,0.0
2015/2016,4129,Tyler Roberts,1,0,0,23,1,0,1,0,1,3.91,0,0.0,0,0.0,0.63,2.47,0,0,0.0,0,0.0,8,31.3,4,15.65,0.5,2,7.83,0,0.0,0,11,43.04,30.85,120.72,1,3,11.74,2,7.83,2,7.83,1.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,1,3.91,0.0,0,0.0,6,23.48,6,23.48,2,1,3.91,0,-1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['West Bromwich Albion'],['England - Premier League'],Right Wing,0.09,10.62,14,FWD,0,0.0
2015/2016,4174,Ragnar Klavan,31,31,30,2921,0,1,2,0,9,0.28,4,0.12,0,0.0,0.84,0.03,7,0,0.0,6,0.18,1501,46.25,1266,39.01,0.843437708194537,440,13.56,2,0.06,89,1129,34.79,7239.51,223.06,112,1,0.03,2,0.06,2,0.06,1.0,0,78,2.4,12,0.37,66,26,0.8,0.15384615384615385,12,0.37,14,53,1.63,0.46153846153846156,187,5.76,95,2.93,284,8.75,4,24,0.74,16,-8,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Augsburg'],['Germany - 1. Bundesliga'],Left Center Back,18.82,884.28,12,DEF,0,0.0
2015/2016,4217,Danny Graham,10,4,0,402,6,4,0,0,4,0.9,2,0.45,0,0.0,0.5,0.11,2,0,0.0,0,0.0,86,19.25,50,11.19,0.5813953488372093,15,3.36,3,0.67,1,62,13.88,242.37,54.26,1,4,0.9,2,0.45,0,0.0,0.0,0,22,4.93,1,0.22,21,4,0.9,0.045454545454545456,1,0.22,3,9,2.01,0.25,8,1.79,6,1.34,48,10.75,8,8,1.79,7,-1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Sunderland'],['England - Premier League'],Center Forward,2.57,163.93,17,FWD,0,0.0
2015/2016,4243,Cameron Brannagan,3,1,1,128,2,0,0,0,1,0.7,1,0.7,0,0.0,0.08,0.06,0,0,0.0,1,0.7,126,88.59,115,80.86,0.9126984126984127,12,8.44,4,2.81,5,98,68.91,543.47,382.13,6,1,0.7,4,2.81,2,1.41,0.5,0,8,5.62,0,0.0,8,2,1.41,0.0,2,1.41,0,6,4.22,1.0,1,0.7,13,9.14,50,35.16,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Liverpool'],['England - Premier League'],Right Center Midfield,0.04,61.36,8,MID,0,0.0
2015/2016,4249,Wilfried Moimbé,15,15,13,1393,0,2,4,0,8,0.52,3,0.19,0,0.0,0.17,0.01,1,1,0.06,9,0.58,652,42.12,449,29.01,0.6886503067484663,236,15.25,34,2.2,18,389,25.13,2483.61,160.46,55,7,0.45,17,1.1,5,0.32,0.29411764705882354,0,46,2.97,2,0.13,44,34,2.2,0.043478260869565216,11,0.71,23,26,1.68,0.3235294117647059,46,2.97,76,4.91,191,12.34,10,22,1.42,28,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Nantes'],['France - Ligue 1'],Left Back,12.7,329.04,13,DEF,1,0.06
2015/2016,4253,Ole Kristian Selnæs,3,2,1,185,1,1,0,0,2,0.97,0,0.0,0,0.0,0.03,0.01,0,0,0.0,3,1.46,105,51.08,90,43.78,0.8571428571428571,18,8.76,0,0.0,0,85,41.35,534.76,260.15,14,0,0.0,0,0.0,0,0.0,0.0,0,9,4.38,1,0.49,8,0,0.0,0.1111111111111111,0,0.0,0,3,1.46,0.0,3,1.46,11,5.35,53,25.78,3,2,0.97,1,-1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Saint-Étienne'],['France - Ligue 1'],Center Defensive Midfield,0.58,63.36,6,MID,0,0.0
2015/2016,4254,Valentin Eysseric,30,19,12,1877,11,7,6,0,39,1.87,8,0.38,6,0.29,3.95,0.19,1,4,0.19,39,1.87,967,46.37,655,31.41,0.6773526370217167,178,8.53,49,2.35,52,778,37.3,4933.99,236.58,107,32,1.53,31,1.49,14,0.67,0.45161290322580644,4,84,4.03,2,0.1,82,16,0.77,0.023809523809523808,8,0.38,8,35,1.68,0.5,11,0.53,100,4.79,401,19.23,37,44,2.11,41,-3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,"['OGC Nice', 'Saint-Étienne']",['France - Ligue 1'],Center Attacking Midfield,2.37,575.71,"[4, 6]",MID,10,0.48
2015/2016,4255,Jean-Victor Makengo,10,5,2,463,5,3,1,0,2,0.39,0,0.0,0,0.0,0.04,0.01,0,0,0.0,3,0.58,135,26.24,107,20.8,0.7925925925925926,27,5.25,1,0.19,4,132,25.66,918.68,178.58,16,0,0.0,7,1.36,4,0.78,0.5714285714285714,0,21,4.08,4,0.78,17,6,1.17,0.19047619047619047,2,0.39,4,15,2.92,0.3333333333333333,2,0.39,31,6.03,165,32.07,8,8,1.56,6,-2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Caen'],['France - Ligue 1'],Right Center Midfield,-4.07,186.25,7,MID,0,0.0
2015/2016,4256,Jonathan Bamba,5,4,1,302,1,3,0,0,9,2.68,2,0.6,1,0.3,0.67,0.2,1,0,0.0,2,0.6,110,32.78,85,25.33,0.7727272727272727,13,3.87,3,0.89,1,129,38.44,994.65,296.42,25,8,2.38,5,1.49,3,0.89,0.6,1,8,2.38,1,0.3,7,1,0.3,0.125,1,0.3,0,10,2.98,1.0,1,0.3,13,3.87,75,22.35,14,6,1.79,3,-3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Saint-Étienne'],['France - Ligue 1'],Right Wing,1.56,77.55,6,FWD,1,0.3
2015/2016,4257,Yoan Cardinale,26,25,24,2436,1,1,3,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,716,26.45,491,18.14,0.6857541899441341,498,18.4,0,0.0,8,320,11.82,1309.89,48.39,14,0,0.0,1,0.04,1,0.04,1.0,0,1,0.04,0,0.0,1,0,0.0,0.0,0,0.0,0,1,0.04,0.0,0,0.0,121,4.47,5,0.18,0,0,0.0,8,8,1,28,1.03,192,7.09,73,2.7,0,0.3802083333333333,9,['OGC Nice'],['France - Ligue 1'],Goalkeeper,-2.54,1039.1,4,GK,0,0.0
2015/2016,4258,Ronaël Pierre-Gabriel,5,4,2,344,1,2,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,2,0.52,217,56.77,167,43.69,0.7695852534562212,55,14.39,5,1.31,2,136,35.58,536.03,140.24,9,1,0.26,2,0.52,1,0.26,0.5,0,19,4.97,2,0.52,17,11,2.88,0.10526315789473684,1,0.26,10,10,2.62,0.09090909090909091,10,2.62,26,6.8,63,16.48,3,7,1.83,5,-2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Saint-Étienne'],['France - Ligue 1'],Right Back,-4.12,94.95,6,DEF,0,0.0
2015/2016,4259,Stéphane Ruffier,37,37,37,3539,0,0,4,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,1,0.03,1190,30.26,710,18.06,0.5966386554621849,881,22.4,0,0.0,7,496,12.61,2576.28,65.52,44,0,0.0,0,0.0,0,0.0,0.0,0,2,0.05,0,0.0,2,0,0.0,0.0,0,0.0,0,2,0.05,0.0,1,0.03,175,4.45,2,0.05,0,2,0.05,3,1,0,35,0.89,286,7.27,110,2.8,1,0.38461538461538464,16,['Saint-Étienne'],['France - Ligue 1'],Goalkeeper,-3.38,1631.5,6,GK,0,0.0
2015/2016,4260,Romain Hamouma,24,17,9,1693,7,8,4,0,38,2.02,12,0.64,3,0.16,3.58,0.19,3,3,0.16,31,1.65,584,31.05,384,20.41,0.6575342465753424,87,4.62,45,2.39,30,540,28.71,4319.2,229.61,103,56,2.98,55,2.92,16,0.85,0.2909090909090909,5,53,2.82,7,0.37,46,7,0.37,0.1320754716981132,1,0.05,6,24,1.28,0.14285714285714285,11,0.58,86,4.57,271,14.41,52,25,1.33,35,10,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Saint-Étienne'],['France - Ligue 1'],Right Wing,-3.83,434.55,6,FWD,6,0.32
2015/2016,4263,Loïc Perrin,24,24,22,2227,0,1,0,1,17,0.69,8,0.32,3,0.12,2.75,0.11,14,1,0.04,6,0.24,1268,51.24,1094,44.21,0.862776025236593,326,13.17,1,0.04,31,833,33.66,4081.84,164.96,58,2,0.08,3,0.12,3,0.12,1.0,0,119,4.81,8,0.32,111,24,0.97,0.06722689075630252,8,0.32,16,39,1.58,0.3333333333333333,175,7.07,90,3.64,267,10.79,3,21,0.85,32,11,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Saint-Étienne'],['France - Ligue 1'],Left Center Back,-0.16,520.0,6,DEF,4,0.16
2015/2016,4264,Vincent Koziello,35,32,15,2801,3,17,9,0,14,0.45,6,0.19,3,0.1,1.16,0.04,1,6,0.19,26,0.84,1758,56.49,1585,50.93,0.9015927189988624,149,4.79,12,0.39,12,1535,49.32,6416.12,206.16,76,23,0.74,45,1.45,29,0.93,0.6444444444444445,2,167,5.37,26,0.84,141,25,0.8,0.15568862275449102,8,0.26,17,60,1.93,0.32,18,0.58,170,5.46,1058,34.0,40,62,1.99,43,-19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['OGC Nice'],['France - Ligue 1'],Right Center Midfield,-10.91,525.89,4,MID,9,0.29
2015/2016,4265,Oussama Tannane,9,7,0,600,2,7,2,0,21,3.15,11,1.65,2,0.3,1.75,0.26,1,1,0.15,10,1.5,233,34.95,161,24.15,0.6909871244635193,46,6.9,17,2.55,11,227,34.05,1764.99,264.75,36,16,2.4,19,2.85,6,0.9,0.3157894736842105,0,43,6.45,3,0.45,40,5,0.75,0.06976744186046512,1,0.15,4,11,1.65,0.2,1,0.15,30,4.5,147,22.05,7,17,2.55,22,5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Saint-Étienne'],['France - Ligue 1'],Right Wing,-1.27,167.01,6,FWD,3,0.45
2015/2016,4269,Aleksandar Mitrović,34,22,12,2286,12,8,4,2,80,3.15,30,1.18,9,0.35,11.84,0.47,33,4,0.16,22,0.87,714,28.11,519,20.43,0.726890756302521,54,2.13,6,0.24,2,574,22.6,2791.32,109.89,47,58,2.28,35,1.38,18,0.71,0.5142857142857142,2,236,9.29,6,0.24,230,9,0.35,0.025423728813559324,4,0.16,5,50,1.97,0.4444444444444444,30,1.18,73,2.87,391,15.39,72,53,2.09,59,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Newcastle United'],['England - Premier League'],Center Forward,4.7,440.02,18,FWD,13,0.51
2015/2016,4270,Jérémy Pied,33,33,32,3129,0,1,10,0,21,0.6,4,0.12,0,0.0,0.77,0.02,1,3,0.09,28,0.81,2191,63.02,1672,48.09,0.7631218621633957,470,13.52,110,3.16,41,1591,45.76,10743.76,309.02,267,23,0.66,59,1.7,37,1.06,0.6271186440677966,1,184,5.29,24,0.69,160,58,1.67,0.13043478260869565,14,0.4,44,72,2.07,0.2413793103448276,115,3.31,160,4.6,571,16.42,39,45,1.29,46,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['OGC Nice'],['France - Ligue 1'],Right Back,-20.64,626.91,4,DEF,3,0.09
2015/2016,4271,Andy Carroll,27,13,8,1598,14,5,2,0,55,3.1,22,1.24,9,0.51,6.28,0.35,26,1,0.06,14,0.79,433,24.39,266,14.98,0.6143187066974596,61,3.44,8,0.45,8,281,15.83,1426.0,80.31,12,24,1.35,22,1.24,10,0.56,0.45454545454545453,3,133,7.49,3,0.17,130,5,0.28,0.022556390977443608,4,0.23,1,24,1.35,0.8,31,1.75,55,3.1,164,9.24,20,43,2.42,29,-14,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['West Ham United'],['England - Premier League'],Center Forward,1.85,406.14,7,FWD,10,0.56
2015/2016,4273,Reece Oxford,7,3,0,248,4,3,0,0,1,0.36,0,0.0,0,0.0,0.07,0.03,1,0,0.0,0,0.0,57,20.69,47,17.06,0.8245614035087719,14,5.08,0,0.0,2,33,11.98,126.75,46.0,0,0,0.0,0,0.0,0,0.0,0.0,0,9,3.27,2,0.73,7,6,2.18,0.2222222222222222,2,0.73,4,7,2.54,0.3333333333333333,7,2.54,6,2.18,31,11.25,0,2,0.73,1,-1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['West Ham United'],['England - Premier League'],Center Defensive Midfield,1.01,184.25,7,MID,0,0.0
2015/2016,4275,Ross Barkley,38,36,22,3265,2,14,4,0,95,2.62,27,0.74,8,0.22,7.7,0.21,2,8,0.22,54,1.49,1921,52.95,1593,43.91,0.8292555960437272,274,7.55,36,0.99,68,1858,51.22,12921.57,356.18,246,77,2.12,145,4.0,94,2.59,0.6482758620689655,6,85,2.34,10,0.28,75,11,0.3,0.11764705882352941,6,0.17,5,36,0.99,0.5454545454545454,22,0.61,243,6.7,421,11.6,94,34,0.94,86,52,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Everton'],['England - Premier League'],Center Attacking Midfield,10.58,728.7,11,MID,16,0.44
2015/2016,4276,David Ospina,4,4,4,385,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,127,29.69,74,17.3,0.5826771653543307,104,24.31,0,0.0,1,47,10.99,286.86,67.06,5,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,26,6.08,0,0.0,0,0,0.0,2,2,0,5,1.17,34,7.95,17,3.97,0,0.5,2,['Arsenal'],['England - Premier League'],Goalkeeper,0.14,206.46,2,GK,0,0.0
2015/2016,4279,Konstantinos Stafylidis,11,8,6,726,3,2,2,0,10,1.24,4,0.5,1,0.12,0.28,0.03,0,0,0.0,3,0.37,381,47.23,268,33.22,0.7034120734908137,132,16.36,21,2.6,21,234,29.01,1297.77,160.88,18,0,0.0,8,0.99,6,0.74,0.75,0,32,3.97,6,0.74,26,15,1.86,0.1875,5,0.62,10,27,3.35,0.3333333333333333,41,5.08,43,5.33,97,12.02,7,10,1.24,6,-4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Augsburg'],['Germany - 1. Bundesliga'],Left Back,11.42,260.92,12,DEF,1,0.12
2015/2016,4280,Winston Reid,24,24,23,2311,0,1,5,0,18,0.7,5,0.19,1,0.04,1.59,0.06,11,1,0.04,4,0.16,826,32.17,691,26.91,0.8365617433414043,258,10.05,0,0.0,23,538,20.95,3235.63,126.01,74,4,0.16,2,0.08,2,0.08,1.0,0,94,3.66,19,0.74,75,41,1.6,0.20212765957446807,11,0.43,30,51,1.99,0.2682926829268293,177,6.89,64,2.49,248,9.66,5,24,0.93,29,5,1,0,0.0,0,0.0,0,0.0,0,0.0,0,['West Ham United'],['England - Premier League'],Right Center Back,-5.36,630.72,7,DEF,2,0.08
2015/2016,4317,Kevin Mirallas,23,10,5,1136,13,4,1,2,41,3.25,16,1.27,4,0.32,3.21,0.25,2,2,0.16,14,1.11,382,30.26,296,23.45,0.774869109947644,56,4.44,24,1.9,21,396,31.37,3063.06,242.67,54,30,2.38,37,2.93,21,1.66,0.5675675675675675,1,34,2.69,1,0.08,33,17,1.35,0.029411764705882353,4,0.32,13,10,0.79,0.23529411764705882,6,0.48,59,4.67,151,11.96,25,15,1.19,21,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Everton'],['England - Premier League'],Left Wing,13.22,419.13,11,FWD,6,0.48
2015/2016,4319,Edinson Cavani,31,24,20,2416,7,4,3,0,86,3.2,45,1.68,19,0.71,17.33,0.65,20,5,0.19,18,0.67,806,30.02,676,25.18,0.8387096774193549,58,2.16,15,0.56,24,607,22.61,2391.33,89.08,19,61,2.27,26,0.97,15,0.56,0.5769230769230769,2,39,1.45,2,0.07,37,13,0.48,0.05128205128205128,5,0.19,8,29,1.08,0.38461538461538464,7,0.26,66,2.46,302,11.25,15,30,1.12,21,-9,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Paris Saint-Germain'],['France - Ligue 1'],Left Wing,14.06,506.2,1,FWD,24,0.89
2015/2016,4320,Neymar,34,34,33,3188,0,1,6,0,123,3.47,56,1.58,24,0.68,20.47,0.58,4,12,0.34,82,2.31,1970,55.61,1532,43.25,0.7776649746192893,174,4.91,71,2.0,64,2173,61.35,17188.89,485.26,322,299,8.44,273,7.71,169,4.77,0.6190476190476191,17,54,1.52,3,0.08,51,13,0.37,0.05555555555555555,6,0.17,7,29,0.82,0.46153846153846156,3,0.08,134,3.78,392,11.07,98,55,1.55,159,104,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Barcelona'],['Spain - La Liga'],Left Wing,29.91,548.32,1,FWD,36,1.02
2015/2016,4324,Dani Alves,29,24,17,2236,5,7,7,0,16,0.64,4,0.16,0,0.0,0.66,0.03,1,4,0.16,18,0.72,1971,79.33,1682,67.7,0.8533739218670725,270,10.87,86,3.46,79,1555,62.59,7260.3,292.23,135,45,1.81,51,2.05,26,1.05,0.5098039215686274,3,95,3.82,15,0.6,80,29,1.17,0.15789473684210525,11,0.44,18,63,2.54,0.3793103448275862,33,1.33,164,6.6,381,15.34,23,43,1.73,24,-19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Barcelona'],['Spain - La Liga'],Right Back,-28.8,501.92,1,DEF,4,0.16
2015/2016,4325,Thiago Motta,31,25,15,2358,6,10,5,0,12,0.46,2,0.08,1,0.04,2.04,0.08,7,1,0.04,13,0.5,2916,111.3,2674,102.06,0.9170096021947873,387,14.77,11,0.42,62,2295,87.6,9224.28,352.07,125,2,0.08,24,0.92,16,0.61,0.6666666666666666,0,100,3.82,13,0.5,87,21,0.8,0.13,3,0.11,18,39,1.49,0.14285714285714285,33,1.26,87,3.32,491,18.74,17,34,1.3,36,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Paris Saint-Germain'],['France - Ligue 1'],Center Defensive Midfield,3.29,565.27,1,MID,2,0.08
2015/2016,4326,Layvin Kurzawa,19,17,16,1604,2,1,2,0,20,1.12,6,0.34,4,0.22,3.06,0.17,11,5,0.28,13,0.73,1119,62.79,954,53.53,0.8525469168900804,122,6.85,46,2.58,19,838,47.02,4519.44,253.58,99,16,0.9,42,2.36,24,1.35,0.5714285714285714,2,68,3.82,10,0.56,58,36,2.02,0.14705882352941177,13,0.73,23,40,2.24,0.3611111111111111,42,2.36,90,5.05,219,12.29,18,23,1.29,13,-10,0,0,0.0,0,0.0,0,0.0,0,0.0,0,"['AS Monaco', 'Paris Saint-Germain']",['France - Ligue 1'],Left Back,26.17,318.21,"[3, 1]",DEF,9,0.5
2015/2016,4345,Lucas Ocampos,17,7,3,837,10,4,0,0,22,2.37,5,0.54,1,0.11,2.13,0.23,2,0,0.0,6,0.65,270,29.03,187,20.11,0.6925925925925925,35,3.76,13,1.4,7,304,32.69,1923.25,206.8,35,20,2.15,38,4.09,15,1.61,0.39473684210526316,2,37,3.98,7,0.75,30,6,0.65,0.1891891891891892,3,0.32,3,23,2.47,0.5,4,0.43,49,5.27,182,19.57,22,11,1.18,17,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Marseille'],['France - Ligue 1'],Left Wing,4.03,257.28,12,FWD,1,0.11
2015/2016,4346,Giannelli Imbula,14,14,14,1360,0,0,4,0,21,1.39,5,0.33,2,0.13,0.77,0.05,1,0,0.0,11,0.73,779,51.55,682,45.13,0.8754813863928113,139,9.2,4,0.26,11,729,48.24,6084.56,402.65,122,16,1.06,61,4.04,40,2.65,0.6557377049180327,6,31,2.05,5,0.33,26,12,0.79,0.16129032258064516,7,0.46,5,16,1.06,0.5833333333333334,7,0.46,96,6.35,242,16.01,25,24,1.59,22,-2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Stoke City'],['England - Premier League'],Left Defensive Midfield,-1.39,250.75,9,MID,2,0.13
2015/2016,4347,Jordan Amavi,10,9,9,906,1,0,2,0,4,0.4,0,0.0,0,0.0,0.08,0.01,0,2,0.2,6,0.6,529,52.55,398,39.54,0.7523629489603024,116,11.52,34,3.38,15,394,39.14,2452.74,243.65,60,7,0.7,49,4.87,18,1.79,0.3673469387755102,3,57,5.66,9,0.89,48,14,1.39,0.15789473684210525,5,0.5,9,22,2.19,0.35714285714285715,39,3.87,60,5.96,154,15.3,16,18,1.79,14,-4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Aston Villa'],['England - Premier League'],Left Back,11.05,204.88,20,DEF,2,0.2
2015/2016,4349,Issa Diop,21,21,19,1995,0,0,5,2,6,0.27,2,0.09,1,0.05,0.75,0.03,6,0,0.0,3,0.14,769,34.69,567,25.58,0.7373211963589077,269,12.14,0,0.0,26,492,22.2,3262.93,147.2,56,1,0.05,2,0.09,1,0.05,0.5,0,59,2.66,6,0.27,53,29,1.31,0.1016949152542373,8,0.36,21,25,1.13,0.27586206896551724,118,5.32,95,4.29,164,7.4,4,32,1.44,15,-17,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Toulouse'],['France - Ligue 1'],Right Center Back,-8.05,510.36,17,DEF,1,0.05
2015/2016,4350,Yannick Cahuzac,30,28,23,2593,2,3,13,2,11,0.38,4,0.14,2,0.07,1.38,0.05,0,0,0.0,11,0.38,1167,40.51,933,32.38,0.7994858611825193,242,8.4,11,0.38,14,773,26.83,4888.37,169.67,99,17,0.59,26,0.9,14,0.49,0.5384615384615384,2,134,4.65,26,0.9,108,42,1.46,0.19402985074626866,20,0.69,22,71,2.46,0.47619047619047616,55,1.91,155,5.38,584,20.27,33,60,2.08,32,-28,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Bastia'],['France - Ligue 1'],Right Defensive Midfield,-6.65,568.78,10,MID,2,0.07
2015/2016,4351,Bouna Sarr,25,9,3,1091,16,6,0,0,16,1.32,6,0.49,2,0.16,1.36,0.11,1,0,0.0,15,1.24,527,43.47,383,31.59,0.7267552182163188,65,5.36,41,3.38,16,530,43.72,4661.55,384.55,116,17,1.4,66,5.44,26,2.14,0.3939393939393939,6,54,4.45,4,0.33,50,7,0.58,0.07407407407407407,4,0.33,3,22,1.81,0.5714285714285714,5,0.41,52,4.29,220,18.15,33,24,1.98,23,-1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,['Marseille'],['France - Ligue 1'],Right Wing,-11.59,468.83,12,FWD,2,0.16
2015/2016,4352,Issiaga Sylla,34,29,27,2868,5,0,9,2,23,0.72,3,0.09,0,0.0,0.85,0.03,4,4,0.13,25,0.78,1619,50.81,1140,35.77,0.7041383570105003,460,14.44,106,3.33,45,1150,36.09,8204.43,257.46,208,18,0.56,60,1.88,33,1.04,0.55,0,169,5.3,36,1.13,133,81,2.54,0.21301775147928995,32,1.0,49,85,2.67,0.3950617283950617,89,2.79,224,7.03,643,20.18,65,63,1.98,23,-40,1,0,0.0,0,0.0,0,0.0,0,0.0,0,['Gazélec Ajaccio'],['France - Ligue 1'],Left Back,14.09,704.44,19,DEF,4,0.13
