competitions,season,main_team,teams,main_role,player_id,player_name,presences,matches_started,full_matches,minutes_played,substitutions_in,substitutions_out,yellow_cards,red_cards,shots_attempted,goals,shots_on_target,xg_total,xg_avg,penalties,headers,assists,key_passes,passes_attempted,passes_completed,pass_accuracy,progressive_passes,crosses,switches,avg_pass_angle,avg_pass_length,carries_attempted,carry_distance_total,progressive_carries,carries_to_penalty_area,dribbles_attempted,dribbles_completed,dribble_success_rate,dribble_overruns,duels_attempted,duels_won,duels_lost,duels_ratio,interceptions_attempted,interceptions_won,interceptions_lost,interceptions_ratio,blocks,clearances,ball_recoveries,pressures,dispossessed,fouls_committed,fouls_won,fouls_balance,own_goals,gk_shots_faced,gk_saves,gk_save_ratio,gk_penalties_saved,gk_claims,gk_punches,gk_clearances,gk_smother,gk_sweeper,gk_errors,gk_goals_conceded,gk_clean_sheet
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Left Back,16056,Niklas Hult,15,9,7,909.67,6,2,2,1,5,1,2,0.88,0.55,0,0,0,8,452,344,0.7,74,27,11,12.31,255.68,340,2643.93,67,8,12,4,0.28,2,52,6,46,0.12,21,7,14,0.65,16,17,47,229,16,17,12,-5,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Left Back,6352,Ricardo Pereira,26,26,25,2399.64,0,1,6,0,4,0,2,0.24,0.24,0,1,4,11,1687,1367,0.8,298,65,30,11.67,455.47,1268,7817.42,207,26,72,38,0.52,2,157,27,130,0.15,53,19,34,0.54,92,74,113,498,35,27,44,17,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Right Defensive Midfield,403377,Stéphan Raheriharimanana,4,1,0,84.45,3,1,0,0,0,0,0,0.0,0.0,0,0,0,1,60,50,0.7,5,0,1,1.53,59.82,48,181.1,2,0,2,1,0.5,0,2,0,2,0.0,1,1,0,1.0,3,1,6,27,0,1,2,1,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Center Defensive Midfield,4506,Nampalys Mendy,38,38,38,3594.57,0,0,2,1,6,1,1,0.15,0.14,0,0,2,5,2991,2760,0.92,330,2,116,-1.31,725.4,2539,11691.72,150,0,38,26,0.65,1,81,20,61,0.25,46,18,28,0.56,62,36,275,491,30,40,70,30,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Right Center Midfield,42376,Albert Rafetraniaina,1,0,0,9.75,1,0,1,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0.0,0,0,0,-0.96,12.71,1,1.41,0,0,0,0,,0,0,0,0,,0,0,0,1.0,0,0,1,5,0,1,0,-1,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Right Center Midfield,4264,Vincent Koziello,35,32,15,2783.19,3,17,9,0,14,3,6,1.16,0.92,0,1,6,26,1758,1585,0.9,149,12,12,-10.91,525.89,1535,6416.12,76,23,45,29,0.58,2,167,26,141,0.12,25,8,17,0.7,60,18,170,1058,40,62,43,-19,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Left Center Midfield,3359,Jean Michaël Seri,38,35,24,3228.76,3,11,2,0,51,3,19,3.83,2.02,0,2,6,48,2811,2413,0.86,418,24,128,12.42,754.64,2390,10862.75,149,21,62,38,0.53,3,92,15,77,0.18,35,13,22,0.7,52,29,189,680,60,35,64,29,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Left Center Midfield,401528,Mahamane El-Hadj Traoré,12,4,0,441.28,8,4,2,0,8,2,2,2.02,1.69,0,3,2,2,263,230,0.88,31,0,3,-0.78,179.76,209,921.49,18,3,6,3,0.4,2,21,1,20,0.06,5,1,4,0.67,4,8,19,86,7,10,7,-3,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Left Center Midfield,3136,Rémi Walter,12,6,3,595.63,6,3,0,0,12,0,1,0.68,0.39,0,0,0,5,429,377,0.92,38,4,6,4.86,174.75,376,1907.24,24,5,13,10,0.78,0,26,2,24,0.07,2,1,1,0.92,14,6,49,146,8,8,6,-2,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,OGC Nice,['OGC Nice'],Center Attacking Midfield,16462,Hatem Ben Arfa,34,33,18,2926.71,1,15,2,0,92,17,35,9.81,2.88,5,0,6,28,1416,1060,0.75,247,63,69,-7.41,656.59,1498,13090.61,309,101,189,115,0.56,16,56,5,51,0.08,7,4,3,0.93,29,5,141,395,114,31,53,22,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
