competitions,season,main_team,teams,main_role,player_id,player_name,presences,matches_started,full_matches,minutes_played,substitutions_in,substitutions_out,yellow_cards,red_cards,shots_attempted,goals,shots_on_target,xg_total,xg_avg,penalties,headers,assists,key_passes,passes_attempted,passes_completed,pass_accuracy,progressive_passes,crosses,switches,avg_pass_angle,avg_pass_length,carries_attempted,carry_distance_total,progressive_carries,carries_to_penalty_area,dribbles_attempted,dribbles_completed,dribble_success_rate,dribble_overruns,duels_attempted,duels_won,duels_lost,duels_ratio,interceptions_attempted,interceptions_won,interceptions_lost,interceptions_ratio,blocks,clearances,ball_recoveries,pressures,dispossessed,fouls_committed,fouls_won,fouls_balance,own_goals,gk_shots_faced,gk_saves,gk_save_ratio,gk_penalties_saved,gk_claims,gk_punches,gk_clearances,gk_smother,gk_sweeper,gk_errors,gk_goals_conceded,gk_clean_sheet
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Left Wing,4900,Paul-Georges Ntep,14,11,3,949.72,3,8,1,0,21,2,8,2.95,1.3,1,0,3,17,416,266,0.64,67,26,8,7.03,253.94,398,3559.19,77,32,65,28,0.38,6,26,6,20,0.16,1,1,0,1.0,7,5,46,140,29,8,26,18,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Left Wing,3735,Wesley Saïd,1,0,0,14.93,1,0,0,0,0,0,0,0.0,0.0,0,0,0,1,5,3,0.6,0,0,0,1.43,9.62,6,59.1,1,0,1,1,1.0,0,0,0,0,,0,0,0,1.0,0,0,1,1,0,0,1,1,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Center Forward,3018,Giovanni Sio,34,28,20,2755.73,6,8,10,2,71,7,22,9.72,4.04,1,21,5,19,749,545,0.72,72,12,13,-6.56,506.32,684,4030.12,66,56,49,24,0.53,3,164,7,157,0.03,8,5,3,0.93,43,13,73,494,52,63,45,-18,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Center Forward,42423,Habib Habibou,1,0,0,12.35,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,,0,0,0,0.0,0.0,0,0.0,0,0,0,0,,0,1,0,1,0.0,0,0,0,1.0,0,0,0,3,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Center Forward,4909,Jérémie Boga,27,6,4,1096.0,21,2,0,0,21,3,11,2.46,1.74,0,3,0,12,324,264,0.79,18,8,3,7.37,369.37,403,3753.41,82,16,58,36,0.6,3,24,1,23,0.07,2,0,2,0.93,12,0,41,153,25,6,20,14,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Rennes,['Rennes'],Center Forward,4417,Ola Toivonen,1,0,0,24.87,1,0,0,0,1,0,1,0.04,0.04,0,0,0,0,3,2,0.67,0,0,0,0.85,7.76,1,5.87,0,0,0,0,,0,2,0,2,0.0,0,0,0,1.0,0,0,1,2,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Goalkeeper,4259,Stéphane Ruffier,37,37,37,3514.93,0,0,4,0,0,0,0,0.0,0.0,0,0,0,1,1190,710,0.61,881,0,7,-3.38,1631.5,496,2576.28,44,0,0,0,,0,2,0,2,0.0,0,0,0,1.0,2,1,175,2,0,2,3,1,0,286.0,110.0,0.75,1.0,29.0,21.0,12.0,1.0,42.0,55.0,35.0,16.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Right Back,7707,François Clerc,10,10,9,913.14,0,1,0,0,5,0,1,0.12,0.09,0,0,1,6,544,404,0.74,180,17,12,-7.96,204.11,279,1538.01,35,2,6,5,0.83,0,43,3,40,0.08,8,2,6,0.63,18,35,40,136,5,5,5,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Right Back,4382,Kévin Malcuit,8,8,7,714.72,0,1,3,2,2,0,0,0.05,0.05,0,0,1,2,333,224,0.64,98,21,6,-7.04,170.66,241,1743.98,43,8,9,7,0.75,1,40,8,32,0.16,12,4,8,0.44,13,22,53,140,9,14,12,-2,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Right Back,3413,Kévin Théophile-Catherine,21,21,21,1993.7,0,0,2,0,7,1,1,0.5,0.5,0,2,1,14,1001,689,0.67,334,35,19,-18.28,470.12,626,3410.75,80,7,22,15,0.7,2,93,5,88,0.05,17,6,11,0.59,52,68,100,267,25,29,22,-7,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Right Back,4258,Ronaël Pierre-Gabriel,5,4,2,341.78,1,2,0,0,0,0,0,0.0,0.0,0,0,0,2,217,167,0.74,55,5,2,-4.12,94.95,136,536.03,9,1,2,1,0.5,0,19,2,17,0.27,11,1,10,0.3,10,10,26,63,3,7,5,-2,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Right Center Back,401468,Moustapha Bayal Sall,27,26,24,2387.65,1,2,9,1,14,3,5,1.79,1.24,0,9,0,3,1207,971,0.8,390,1,44,-8.73,715.41,840,5502.69,115,3,8,5,0.64,1,84,14,70,0.2,18,3,15,0.62,43,173,154,213,3,39,21,-18,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Left Center Back,4802,Florentin Pogba,23,20,18,1965.62,3,2,1,0,10,0,0,0.37,0.37,0,2,1,4,986,780,0.77,331,2,27,5.95,560.94,669,3533.69,41,3,10,7,0.69,1,69,9,60,0.12,33,11,22,0.48,47,133,111,189,11,17,9,-8,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Left Center Back,4263,Loïc Perrin,24,24,23,2232.32,0,1,0,1,17,3,8,2.75,1.74,0,14,1,6,1268,1094,0.86,326,1,31,-0.16,520.0,833,4081.84,58,2,3,3,1.0,0,119,8,111,0.07,24,8,16,0.51,39,175,90,267,3,21,32,11,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Left Back,3047,Benoît Assou-Ekotto,20,19,18,1804.48,1,1,1,0,11,0,1,0.23,0.17,0,0,0,11,1076,784,0.72,440,26,39,16.95,488.62,659,2808.71,43,7,16,11,0.6,0,52,11,41,0.2,35,10,25,0.32,41,43,126,229,16,27,18,-9,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Left Back,3220,Franck Tabanou,10,7,6,669.34,3,1,0,1,4,0,0,0.06,0.06,0,0,0,4,356,245,0.72,97,13,7,11.2,211.91,227,1207.26,26,1,10,3,0.33,1,24,4,20,0.1,10,4,6,0.55,19,15,28,77,4,8,5,-3,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Left Back,7560,Jonathan Brison,7,4,4,472.72,3,0,2,0,1,0,0,0.01,0.01,0,0,0,2,264,208,0.78,82,16,6,6.02,124.85,164,725.32,11,2,4,2,0.5,0,28,3,25,0.1,6,2,4,0.64,8,16,22,75,3,9,12,3,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Left Back,7347,Pierre-Yves Polomat,15,9,9,993.09,6,0,2,0,5,0,1,0.2,0.2,0,0,0,6,556,421,0.73,157,25,12,13.37,308.88,343,1898.33,38,3,11,4,0.35,0,49,3,46,0.06,21,8,13,0.56,29,35,59,192,7,13,12,-1,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Right Defensive Midfield,401603,Erin Pinheiro,2,0,0,29.47,2,0,0,0,1,0,0,0.02,0.02,0,0,0,0,6,3,0.3,1,0,0,0.12,36.39,5,38.37,1,0,1,0,0.0,1,0,0,0,,1,0,1,0.5,2,1,1,15,0,1,0,-1,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Right Defensive Midfield,7200,Fabien Lemoine,32,28,15,2463.83,4,13,9,0,19,0,3,0.45,0.27,0,0,1,14,1587,1326,0.83,337,9,42,-2.51,634.96,1246,6994.14,124,16,38,16,0.39,4,120,19,101,0.14,25,12,13,0.73,60,33,158,573,22,59,31,-28,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Center Defensive Midfield,4253,Ole Kristian Selnæs,3,2,1,184.05,1,1,0,0,2,0,0,0.03,0.01,0,0,0,3,105,90,0.74,18,0,0,0.58,63.36,85,534.76,14,0,0,0,,0,9,1,8,0.06,0,0,0,1.0,3,3,11,53,3,2,1,-1,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Left Defensive Midfield,7442,Jérémy Clément,26,25,21,2325.92,1,4,5,0,1,0,0,0.02,0.02,0,0,1,9,1310,1124,0.85,255,2,12,3.71,477.77,834,3613.21,53,1,9,4,0.44,1,116,21,95,0.18,34,6,28,0.48,55,51,110,644,11,50,17,-33,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Left Center Midfield,3200,Renaud Cohade,18,13,4,1101.01,5,9,2,0,11,0,3,0.36,0.2,0,2,2,15,706,483,0.73,149,32,39,-0.54,350.93,500,2913.29,62,4,17,4,0.31,2,94,12,82,0.1,8,5,3,0.83,28,8,81,358,12,30,6,-24,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Left Center Midfield,3414,Vincent Pajot,28,19,16,1880.64,9,3,6,0,23,1,6,1.8,1.02,0,8,1,15,872,722,0.79,137,2,13,2.78,467.4,599,3348.85,45,8,19,8,0.41,2,94,10,84,0.1,29,9,20,0.61,44,53,97,409,27,41,30,-11,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Left Midfield,23315,Yohan Mollo,1,0,0,25.5,1,0,0,0,1,0,0,0.02,0.02,0,0,0,0,10,7,0.7,3,1,1,0.64,22.39,9,83.43,2,0,0,0,,0,0,0,0,,1,0,1,0.0,1,0,1,2,0,0,1,1,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Right Wing,4265,Oussama Tannane,9,7,0,595.32,2,7,2,0,21,2,11,1.75,0.95,0,1,1,10,233,161,0.68,46,17,11,-1.27,167.01,227,1764.99,36,16,19,6,0.28,0,43,3,40,0.05,5,1,4,0.67,11,1,30,147,7,17,22,5,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Right Wing,4260,Romain Hamouma,24,17,9,1679.25,7,8,4,0,38,3,12,3.58,1.62,0,3,3,31,584,384,0.67,87,45,30,-3.83,434.55,540,4319.2,103,56,55,16,0.27,5,53,7,46,0.15,7,1,6,0.79,24,11,86,271,52,25,35,10,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Center Attacking Midfield,2944,Benjamin Corgnet,16,5,1,605.62,11,4,0,0,11,1,2,1.13,0.64,0,1,1,7,264,160,0.68,48,9,1,1.22,252.19,192,1171.62,27,9,19,7,0.42,4,39,2,37,0.03,6,3,3,0.9,12,7,34,145,10,18,21,3,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,"['OGC Nice', 'Saint-Étienne']",Center Attacking Midfield,4254,Valentin Eysseric,30,19,12,1863.34,11,7,6,0,39,6,8,3.95,2.45,2,1,4,39,967,655,0.69,178,49,52,2.37,575.71,778,4933.99,107,32,31,14,0.43,4,84,2,82,0.03,16,8,8,0.78,35,11,100,401,37,44,41,-3,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Left Wing,8469,Jean-Christophe Bahebeck,15,10,0,789.69,5,10,2,0,27,1,6,2.98,1.32,1,3,0,8,268,171,0.63,33,14,10,4.64,259.0,282,1891.25,48,33,25,13,0.66,1,41,3,38,0.09,5,3,2,0.9,22,7,44,187,30,13,10,-3,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Left Wing,4256,Jonathan Bamba,5,4,1,300.36,1,3,0,0,9,1,2,0.67,0.25,0,1,0,2,110,85,0.76,13,3,1,1.56,77.55,129,994.65,25,8,5,3,0.33,1,8,1,7,0.17,1,1,0,1.0,10,1,13,75,14,6,3,-3,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Left Wing,4431,Kévin Monnet-Paquet,30,24,13,2287.11,6,11,2,0,44,2,18,3.71,2.17,0,8,2,23,777,545,0.69,69,64,11,1.62,441.9,795,6966.06,152,53,77,38,0.53,4,143,15,128,0.1,14,4,10,0.76,63,14,162,524,82,26,26,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Center Forward,3423,Alexander Söderlund,13,9,5,871.95,4,4,0,0,20,2,5,3.28,1.04,1,5,2,7,164,104,0.66,17,1,1,3.21,182.1,136,677.76,7,21,10,8,0.79,0,58,4,54,0.04,0,0,0,1.0,10,3,20,137,12,21,14,-7,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Center Forward,4766,Neal Maupay,15,5,1,574.74,10,4,3,0,14,1,3,1.05,0.4,0,3,2,4,123,87,0.67,10,7,0,-0.4,190.3,131,780.32,17,11,8,3,0.31,0,32,0,32,0.0,1,0,1,0.93,11,1,24,139,20,20,1,-19,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Center Forward,3179,Nolan Roux,28,21,12,2060.15,7,9,4,0,59,9,24,8.98,3.97,1,17,2,19,513,333,0.64,60,38,17,-4.75,483.37,475,3467.2,72,36,23,14,0.65,0,83,8,75,0.11,8,3,5,0.86,32,23,72,306,48,42,42,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Saint-Étienne,['Saint-Étienne'],Center Forward,4601,Robert Berič,10,7,5,713.06,3,2,1,0,16,3,6,2.63,1.09,0,1,0,5,171,124,0.71,17,4,1,0.29,134.62,175,762.69,14,16,12,5,0.5,0,54,1,53,0.04,0,0,0,1.0,11,5,16,129,17,11,16,5,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Stade de Reims,['Stade de Reims'],Goalkeeper,7641,Johann Carrasso,10,10,10,946.76,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0,271,131,0.5,229,0,7,-0.14,493.94,115,654.08,8,0,0,0,,0,0,0,0,,0,0,0,1.0,0,0,35,2,0,2,2,0,0,55.0,33.0,0.54,0.0,5.0,5.0,6.0,1.0,13.0,27.0,21.0,0.0
['France - Ligue 1'],2015/2016,Stade de Reims,['Stade de Reims'],Goalkeeper,3980,Johny Placide,19,17,17,1706.12,2,0,0,0,0,0,0,0.0,0.0,0,0,0,1,545,300,0.55,448,0,11,0.87,952.21,228,1721.76,42,0,0,0,,0,0,0,0,,0,0,0,1.0,0,0,103,1,0,0,5,5,0,150.0,46.0,0.62,0.0,25.0,14.0,7.0,1.0,24.0,41.0,23.0,3.0
['France - Ligue 1'],2015/2016,Stade de Reims,['Stade de Reims'],Goalkeeper,401454,Kossi Agassa,11,11,9,954.67,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,336,218,0.64,273,0,2,0.34,525.7,128,743.25,19,0,0,0,,0,0,0,0,,0,0,0,1.0,0,1,50,3,0,0,2,2,0,82.0,33.0,0.71,0.0,20.0,6.0,4.0,0.0,17.0,20.0,13.0,3.0
['France - Ligue 1'],2015/2016,Stade de Reims,['Stade de Reims'],Right Back,3248,Hamari Traoré,33,32,31,3072.08,1,1,10,1,20,2,5,0.49,0.29,0,0,1,33,1812,1345,0.74,529,70,28,-28.69,653.71,1223,7543.6,161,24,55,34,0.62,5,161,33,128,0.22,85,37,48,0.49,109,90,201,552,25,51,31,-20,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Stade de Reims,['Stade de Reims'],Right Center Back,131849,Antoine Conte,11,11,9,958.0,0,2,4,0,9,0,2,0.26,0.16,0,1,0,2,484,379,0.76,144,5,15,-5.99,239.33,329,2085.16,49,1,6,3,0.5,1,26,7,19,0.25,12,7,5,0.74,19,37,64,98,7,12,4,-8,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Stade de Reims,['Stade de Reims'],Right Center Back,6648,Aïssa Mandi,32,32,31,3011.22,0,1,3,1,20,5,9,3.2,1.96,0,7,1,4,1393,1158,0.82,469,3,52,-5.76,818.49,979,5304.02,95,7,8,7,0.86,0,106,9,97,0.1,45,12,33,0.4,61,193,145,261,5,24,24,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Stade de Reims,['Stade de Reims'],Right Center Back,7498,Mickaël Tacalfred,15,14,11,1224.46,1,3,2,0,4,0,1,0.2,0.2,0,2,0,2,597,491,0.83,216,3,22,-7.43,364.23,411,2472.96,54,2,5,3,0.6,0,57,4,53,0.08,22,3,19,0.28,23,52,54,145,3,19,8,-11,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Stade de Reims,['Stade de Reims'],Left Center Back,23329,Abdelhamid El Kaoutari,8,7,7,680.36,1,0,0,0,2,0,0,0.1,0.1,0,1,0,2,310,240,0.78,95,2,4,6.23,171.96,221,1425.9,28,1,4,2,0.5,1,26,2,24,0.07,6,3,3,0.62,13,32,31,65,2,6,8,2,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Stade de Reims,['Stade de Reims'],Left Center Back,7435,Anthony Weber,19,19,16,1670.34,0,3,5,0,5,1,2,0.47,0.47,0,3,0,3,782,660,0.84,247,2,31,7.16,466.6,487,2581.14,42,0,8,7,0.92,0,67,3,64,0.02,27,8,19,0.41,44,97,53,189,4,12,17,5,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Stade de Reims,['Stade de Reims'],Left Center Back,401455,Mohamed Fofana,13,12,9,1035.31,1,3,2,0,3,0,1,0.48,0.48,0,2,1,0,378,323,0.83,91,0,7,4.06,263.12,267,1617.12,33,0,3,1,0.25,0,35,2,33,0.04,22,2,20,0.37,18,66,37,107,1,8,4,-4,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Stade de Reims,['Stade de Reims'],Left Back,30291,Atila Turan,11,8,7,792.43,3,1,3,0,13,2,3,0.93,0.35,0,0,0,3,341,230,0.68,106,15,14,8.93,235.08,248,1328.04,24,2,12,8,0.73,0,21,3,18,0.17,11,5,6,0.83,7,19,47,100,7,8,3,-5,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Stade de Reims,['Stade de Reims'],Left Back,40521,Franck Signorino,29,29,27,2694.88,0,2,5,0,1,0,0,0.02,0.02,0,0,2,10,1427,1057,0.74,373,32,15,27.36,527.07,869,4930.13,110,2,27,13,0.51,3,99,8,91,0.1,34,13,21,0.56,80,118,116,390,30,29,36,7,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Stade de Reims,['Stade de Reims'],Right Defensive Midfield,7815,Antoine Devaux,33,33,26,2976.95,0,7,8,3,23,1,9,1.94,1.24,0,7,1,20,1398,1130,0.8,294,20,35,-0.2,621.29,1106,6610.16,107,11,23,19,0.8,2,140,23,117,0.14,33,18,15,0.67,66,38,203,691,36,54,39,-15,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Stade de Reims,['Stade de Reims'],Right Defensive Midfield,4545,Prince Oniangué,27,23,19,2211.79,4,4,3,0,32,4,13,3.26,1.94,0,12,1,7,889,740,0.81,158,1,26,-1.3,503.46,687,3451.01,61,13,8,4,0.43,1,85,9,76,0.13,23,10,13,0.7,39,41,97,532,19,21,20,-1,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Stade de Reims,['Stade de Reims'],Center Defensive Midfield,95699,Alexi Peuget,12,8,3,700.49,4,5,3,0,6,0,2,0.21,0.21,0,1,0,4,401,308,0.76,78,4,16,-0.66,247.91,263,1178.45,21,3,4,3,0.83,0,46,3,43,0.04,12,1,11,0.46,26,18,41,192,6,18,11,-7,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Stade de Reims,['Stade de Reims'],Left Defensive Midfield,46801,Jaba Kankava,27,27,24,2479.29,0,3,12,1,11,0,4,0.48,0.43,0,1,1,14,1219,994,0.81,264,8,29,2.23,525.9,990,4948.02,70,1,25,15,0.6,3,141,28,113,0.23,41,15,26,0.47,83,64,215,734,42,47,51,4,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Stade de Reims,['Stade de Reims'],Right Midfield,401488,Odaïr Fortes,16,4,0,533.07,12,4,0,0,7,0,0,0.6,0.46,0,0,0,9,242,171,0.74,41,8,4,-7.87,263.75,233,1748.83,44,12,27,13,0.47,4,23,3,20,0.23,4,1,3,0.88,11,4,29,121,9,7,5,-2,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Stade de Reims,['Stade de Reims'],Left Center Midfield,7369,Aly Ndom,8,4,1,367.56,4,3,0,0,4,0,1,0.24,0.24,0,0,0,5,179,143,0.75,29,0,3,3.13,151.79,148,776.13,10,5,7,7,1.0,0,15,0,15,0.0,4,2,2,0.81,7,8,21,58,5,8,4,-4,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Stade de Reims,['Stade de Reims'],Left Center Midfield,18783,Omenuke Mfulu,13,2,1,432.9,11,1,3,0,4,0,0,0.15,0.07,0,0,0,3,223,176,0.72,60,0,3,-2.4,256.84,169,854.21,20,1,7,5,0.7,0,19,2,17,0.16,4,0,4,0.69,11,9,25,126,4,9,7,-2,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Stade de Reims,['Stade de Reims'],Right Wing,7817,Frédéric Bulot,16,11,6,1078.51,5,5,1,0,20,1,7,1.02,0.75,0,1,0,12,525,392,0.76,80,25,12,-5.28,263.44,441,2937.83,58,6,19,12,0.56,1,29,2,27,0.1,4,2,2,0.88,13,4,56,99,17,8,14,6,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Stade de Reims,['Stade de Reims'],Right Wing,23761,Lass Bangoura,10,3,0,449.8,7,3,1,0,16,1,4,1.11,0.44,0,1,1,7,159,112,0.69,21,18,3,-0.8,158.34,192,1519.11,28,20,28,14,0.45,3,18,3,15,0.13,3,3,0,1.0,7,0,35,91,13,11,4,-7,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Stade de Reims,['Stade de Reims'],Center Attacking Midfield,7635,Gaëtan Charbonnier,22,16,3,1312.02,6,13,3,0,22,4,9,1.79,0.75,0,1,1,18,575,407,0.7,110,13,8,-2.17,383.29,539,2354.6,36,13,47,21,0.52,5,91,6,85,0.14,12,6,6,0.84,28,7,87,327,38,23,22,-1,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Stade de Reims,['Stade de Reims'],Center Attacking Midfield,401775,Hugo Rodriguez,3,2,0,177.5,1,2,0,0,1,0,1,0.03,0.03,0,1,0,1,53,40,0.78,6,1,0,-0.19,49.14,50,313.09,8,2,4,2,0.5,0,7,0,7,0.0,1,1,0,1.0,1,2,5,55,3,3,3,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['France - Ligue 1'],2015/2016,Stade de Reims,['Stade de Reims'],Left Wing,7363,Diego,23,15,8,1522.27,8,7,4,0,36,3,8,2.88,1.41,1,8,3,25,728,447,0.61,201,57,37,11.19,499.93,530,3136.66,68,11,34,13,0.36,2,71,10,61,0.14,16,4,12,0.71,29,17,75,234,22,40,41,1,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
